Reati;Coeff_reato;Coeff_tot_reati;No_coeff
strage;0;0;1
tentati omicidi;0.36;0.0182;1
omicidi;0.64;0.0364;1
percosse;0.01;0.0001;1
lesioni dolose;0.03;0.016;1
minacce;0;0;1
sequestri di persona;0.5;0.0006;1
violenze sessuali;0.18;0.0351;1
atti sessuali con minorenne;0.18;0.0038;1
corruzione di minorenne;0;0;1
sfruttamento e favoreggiamento della prostituzione;0.12;0.0002;1
pornografia minorile e detenzione di materiale pedopornografico;0.16;0.0037;1
furti;0.03;0.128;1
rapine;0.13;0.266;1
estorsioni;0.14;0.0379;1
truffe e frodi informatiche;0.04;0.0008;1
delitti informatici;0;0;1
contraffazione di marchi e prodotti industriali;0;0;1
violazione della proprietà intellettuale;0;0;1
ricettazione;0.05;0.0497;1
riciclaggio e impiego di denaro, beni o utilità di provenienza illecita;0.07;0.0036;1
usura;0.1;0.0002;1
danneggiamenti;0;0;1
incendi;0.09;0.0016;1
danneggiamento seguito da incendio;0;0;1
normativa sugli stupefacenti;0.09;0.1279;1
attentati;0;0;1
associazione per delinquere;0.26;0.0008;1
associazione di tipo mafioso;0.27;0.0021;1
contrabbando;0;0;1
altri delitti;0;0;1